id,SalePrice
2,118807.21948291888
4,264339.8254279415
6,201690.92236268762
7,230887.01682628918
17,194872.77383803081
18,363606.3698085461
22,197289.1442311211
27,122161.00315151483
31,100298.18756053103
36,151218.30901532352
39,385404.4887116754
40,252976.53701742183
42,336403.5397666835
46,240317.47264816065
53,171570.0752799813
58,185157.24534653666
61,321460.8975516775
72,241740.46856761762
79,109687.73554864243
80,196783.75280747667
82,166384.3450946116
83,94077.59523170166
85,142755.02592913056
88,119778.43685350758
92,292541.4994161399
93,275686.99252777355
95,165506.33265135984
102,192485.97603836047
103,172967.89807951142
106,241780.68112631858
107,173886.9482518586
110,228523.74575517338
114,202529.7068895318
116,182718.3273030652
117,155706.14703819886
118,155111.14458072075
125,169129.89503227558
126,166892.1717812743
127,149099.83839517814
128,185463.025829293
134,145699.09784300896
135,181571.16600632068
137,237335.8723491099
143,133719.6766873031
147,133039.35196496156
148,183316.6301634585
150,104470.7227299912
156,141582.8101356372
157,130610.19805957681
159,123224.02809398595
161,239466.27650312972
167,150749.2895969748
170,152600.59240800526
171,91885.33843836181
175,132797.21496076506
179,115162.81794329919
181,111368.01288271461
186,179017.89566580552
193,173616.81311408104
194,94734.42351592882
206,110230.99054099897
208,131281.2333205672
210,163063.6380809273
211,93490.45812347361
212,98977.16446751083
214,104566.66985879136
215,127590.75378568788
217,120707.27104267516
222,179707.47926722647
227,168657.3552668437
228,174375.01250448107
233,226620.29356479459
235,141202.85421645406
238,128084.80898072242
241,166658.37034240557
252,178283.22050973517
253,191217.00560776575
256,148657.57478366178
257,169025.02823267409
258,194674.0951563745
259,183360.45093135058
261,148911.31237527306
263,128272.25261855224
266,235977.45017347456
267,222062.8978305667
270,146463.60990651808
271,255803.80442556646
276,120837.82100619176
285,168175.4986529266
288,54552.1457282388
289,164133.9877783638
290,135834.17892407146
291,123690.76654525875
292,128301.6602278437
293,181558.92817047905
294,221939.69964004186
295,195096.1178260927
304,122705.007783423
322,334844.81027841964
326,181010.25703107446
327,91920.1567954884
328,144121.9021085338
331,86457.6140939581
332,78117.65782073597
333,90683.22715725802
335,144354.01275966142
337,150069.34124113375
342,117477.6069022785
343,185929.31733943016
347,177654.85420618937
350,308746.4286689766
352,237610.20109771664
358,228609.03055808693
359,186738.43096452995
360,162071.91517052837
368,336475.08204018255
369,308271.57077742583
373,188658.70153754376
377,227890.3594692446
383,224249.1897386295
386,210726.92444339214
387,242179.7866892741
390,164467.97029346047
391,165473.75065159806
395,153148.2398095995
397,146006.01915143628
398,124231.21280004
401,107426.38721962426
404,113815.95250509039
408,118680.58292053934
409,123213.32672044451
410,144008.94019857005
418,116705.97905778371
422,415836.84891102504
427,358131.58623507083
431,380347.4145828591
433,444504.893797472
437,329692.00975404005
438,284435.0089487726
442,357050.33711362164
447,238324.62878574524
459,338554.3913306361
460,294910.24884987395
464,199305.66499777522
465,190901.42261779137
467,198303.289390706
468,204159.44014071228
474,174890.5904780257
480,203140.0047543956
481,213166.2163810406
483,235284.1604105397
488,181608.26549915946
492,159662.0969744
494,172427.4664192692
499,317400.8167376437
500,276873.66417336336
501,314473.05905329064
503,273488.2763851698
506,262291.87286480836
508,243033.68660749288
511,259708.65548331803
515,236283.3465810726
519,231697.48875656293
521,251926.5526146866
530,234457.27563310013
532,226178.4945738195
534,173987.85393403377
540,158764.56349204172
541,124545.018764159
551,167335.06896276076
552,155450.23582287523
554,87874.87142774608
555,126172.61943678488
556,128252.19932823136
557,136274.47553442765
565,276858.1616447695
566,233627.7208748037
567,172744.04943250288
569,219877.71424881677
570,202248.43998812322
574,209610.48968851008
575,346447.73554479517
576,191888.32270506042
577,210474.9239055973
578,201604.51403481496
583,228301.87928056542
584,225909.06600211296
585,172405.8945868885
587,192737.4641023453
593,210271.35984447
597,197830.40055805695
598,184435.93033716554
599,174286.92744597013
600,127373.16455419618
605,156751.97617498162
607,171019.49899177227
608,154025.82046782624
611,169837.0384180007
616,119974.89503104736
625,175515.76596231858
629,143754.508702431
630,133700.13234784026
631,142493.24412584698
640,191407.9737869216
642,159078.87815716868
643,150383.2122167026
646,111870.39007257165
647,149853.7350062657
655,89122.63260557012
659,118598.47356312713
663,44574.28319970294
665,103904.04533829846
667,193936.36902508084
673,145359.2740732733
676,141357.60835958607
680,142031.3632599975
682,133197.99000207268
687,126607.3763366583
688,150457.06167112986
692,95363.0371392288
693,117305.70373715952
695,143565.81026636699
697,123299.35873908349
700,143996.69334890365
702,129519.96609350649
703,141374.45566453534
704,104064.63115984274
712,89142.44325864788
713,105639.23688500279
717,173617.6933916777
720,181131.73874500318
721,59900.99673539905
726,159357.55067574818
733,88556.05768426815
736,128825.03838689395
738,109763.54722181124
741,126581.21328712159
743,22986.08257487527
745,110615.66072341413
750,141258.02141064606
756,107192.29170277188
757,130987.51617421527
758,94879.8469066708
760,101332.17783451664
765,134981.71740377822
775,143305.29968984224
776,127768.21508536284
780,180352.49194572706
783,214433.93926250027
790,118843.82817389231
795,86255.83664598732
796,138064.7576519447
797,137520.11255499447
798,97409.55287204716
804,213741.7720526509
805,231718.0022382596
806,226609.5008331678
808,111572.67545318576
814,156596.93262769756
818,286848.57198332064
821,296422.72266251396
822,342461.0882502075
825,277370.200902844
827,235902.9036624821
830,203874.97724657186
834,256945.50294284528
835,212090.09467669422
842,144770.2372640113
845,209777.55217630076
852,216058.01180490808
857,157475.29657323947
858,158303.75375186905
859,143266.74975954636
860,133959.95081962825
861,127750.57647846555
864,238933.1882973203
868,182488.23048799246
869,191736.24047291727
872,277182.43728718284
873,223007.25518372215
885,110633.94702240652
890,114635.48301485092
895,98037.81324388826
899,40395.10121667135
906,132058.0508000975
918,160969.21428979567
923,160723.83588627214
925,144672.10186816298
927,181005.68438386655
932,212001.38023891088
933,106010.9699635501
934,141273.939198729
942,89092.36662481193
947,234622.98531743378
948,258318.0139344345
951,152544.56932609295
957,307906.29757012473
958,332728.756683762
959,225316.8716761398
963,190505.50350187632
967,207912.10172119946
968,344273.6005814968
971,157074.63157207382
972,177611.4030450759
976,95254.88435096196
978,79426.72638429272
979,99781.28111781299
984,120183.25351847397
986,170417.4100843254
991,213024.24017378883
996,211562.07157993253
1001,272563.19311903836
1007,201469.5662226137
1008,178005.26195873736
1009,238258.9634409219
1014,146503.94598715485
1022,217784.8509326459
1024,185786.24110321206
1027,133603.05493049097
1030,155793.21117086
1032,151943.27085164885
1035,146529.92068531906
1042,104882.13540110468
1047,124032.94560095506
1050,108919.12005469158
1055,300349.2396009332
1059,380221.9503457862
1061,352165.4340145675
1064,424797.10303685284
1077,223868.68993769254
1081,222634.47657870772
1092,241486.44574336562
1093,197440.58902157372
1095,218628.98353362462
1099,287568.43991612806
1101,293257.8393721464
1103,292321.8688011009
1109,266305.1637295884
1112,239806.3313232502
1113,237720.8726751051
1114,249091.87518747
1116,239117.26015017965
1117,230268.19711810138
1119,285485.4913685111
1121,220086.62081111845
1122,222179.35821771965
1125,267645.204235443
1137,155690.42902672052
1142,198106.48761213038
1144,198188.07002914962
1145,195990.24000061813
1147,180709.24687191768
1148,177786.62183135733
1149,155225.62999639235
1150,141727.89796369348
1153,78347.42946906165
1154,110189.58478981319
